,Ordem,Tamanho,Tempo
0,random,1000,0.017333507537841797
1,random,5000,0.4883112907409668
2,random,10000,1.9270517826080322
3,random,15000,4.664352655410767
4,random,20000,7.859245777130127
5,random,25000,12.215662479400635
6,random,30000,18.030185222625732
7,ascending,1000,8.797645568847656e-05
8,ascending,5000,0.000514984130859375
9,ascending,10000,0.0009140968322753906
10,ascending,15000,0.001432657241821289
11,ascending,20000,0.001968860626220703
12,ascending,25000,0.0023272037506103516
13,ascending,30000,0.0027828216552734375
14,descending,1000,0.03222823143005371
15,descending,5000,0.8928017616271973
16,descending,10000,3.651789903640747
17,descending,15000,8.182051420211792
18,descending,20000,14.572109699249268
19,descending,25000,22.818386793136597
20,descending,30000,32.790382385253906
