,Ordem,Tamanho,Tempo
0,random,1000,0.037621498107910156
1,random,5000,1.1100285053253174
2,random,10000,4.487400770187378
3,random,15000,10.4684419631958
4,random,20000,18.82071566581726
5,random,25000,31.62702250480652
6,random,30000,44.138482332229614
7,ascending,1000,5.078315734863281e-05
8,ascending,5000,0.0002689361572265625
9,ascending,10000,0.0005137920379638672
10,ascending,15000,0.0007786750793457031
11,ascending,20000,0.0010237693786621094
12,ascending,25000,0.001355886459350586
13,ascending,30000,0.0016214847564697266
14,descending,1000,0.04959988594055176
15,descending,5000,1.5123779773712158
16,descending,10000,5.653821706771851
17,descending,15000,14.36928677558899
18,descending,20000,22.739933490753174
19,descending,25000,36.630619287490845
20,descending,30000,52.249128103256226
