,Ordem,Tamanho,Tempo
0,random,1000,0.001077890396118164
1,random,5000,0.0064754486083984375
2,random,10000,0.01389169692993164
3,random,15000,0.021631717681884766
4,random,20000,0.02846670150756836
5,random,25000,0.03898358345031738
6,random,30000,0.0462644100189209
7,ascending,1000,0.02348494529724121
8,ascending,5000,0.5704116821289062
9,ascending,10000,2.30403208732605
10,ascending,15000,5.17034649848938
11,ascending,20000,9.166692018508911
12,ascending,25000,14.305896520614624
13,ascending,30000,20.60005784034729
14,descending,1000,0.02209949493408203
15,descending,5000,0.6194355487823486
16,descending,10000,2.260333776473999
17,descending,15000,5.235640048980713
18,descending,20000,9.181113243103027
19,descending,25000,14.27215027809143
20,descending,30000,20.54843306541443
