,Ordem,Tamanho,Tempo
0,random,1000,0.04148507118225098
1,random,5000,1.1546027660369873
2,random,10000,4.522773504257202
3,random,15000,11.302024841308594
4,random,20000,20.980523347854614
5,random,25000,36.43328928947449
6,random,30000,48.664706230163574
7,ascending,1000,0.02136373519897461
8,ascending,5000,0.6408247947692871
9,ascending,10000,2.5564544200897217
10,ascending,15000,5.820436954498291
11,ascending,20000,10.33327579498291
12,ascending,25000,16.259828567504883
13,ascending,30000,23.374709606170654
14,descending,1000,0.04827380180358887
15,descending,5000,1.4576358795166016
16,descending,10000,5.9387922286987305
17,descending,15000,13.435510873794556
18,descending,20000,24.18374276161194
19,descending,25000,37.46328258514404
20,descending,30000,57.17778301239014
