,Ordem,Tamanho,Tempo
0,random,1000,0.016098737716674805
1,random,5000,0.40016770362854004
2,random,10000,1.5814311504364014
3,random,15000,3.6704070568084717
4,random,20000,6.348102331161499
5,random,25000,11.659074544906616
6,random,30000,14.747334957122803
7,ascending,1000,0.014953374862670898
8,ascending,5000,0.3838820457458496
9,ascending,10000,1.5114130973815918
10,ascending,15000,3.408313035964966
11,ascending,20000,6.040586948394775
12,ascending,25000,9.435344934463501
13,ascending,30000,13.570959568023682
14,descending,1000,0.017752885818481445
15,descending,5000,0.44727087020874023
16,descending,10000,1.852541446685791
17,descending,15000,4.0375425815582275
18,descending,20000,7.215502977371216
19,descending,25000,11.206779718399048
20,descending,30000,16.20805335044861
